.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,57,66,1.8767231158679032,0.06055605272987527,0.0908340790948129,ns,seg_length,across_classes,NA
log_len,Classic,WGD,57,322,-0.38235539654975664,0.7021977698664805,0.7021977698664805,ns,seg_length,across_classes,NA
log_len,HM,WGD,66,322,-2.9181022867905826,0.0035216880630394957,0.010565064189118487,*,seg_length,across_classes,NA
log_snv,Classic,HM,57,66,-2.3613566231542538,0.018208211250602974,0.018208211250602974,*,n_snvs,across_classes,NA
log_snv,Classic,WGD,57,323,3.724857102305794,1.9542589128999983e-4,2.9313883693499974e-4,***,n_snvs,across_classes,NA
log_snv,HM,WGD,66,323,7.122358407134636,1.06095726965506e-12,3.1828718089651797e-12,****,n_snvs,across_classes,NA
log_len,1,2,49,7,-2.6419738720012407,0.008242441412400572,0.024727324237201715,*,seg_length,within_class_clock,Classic
log_len,1,3+,49,1,-1.3465544250845032,0.17812378070235163,0.2671856710535274,ns,seg_length,within_class_clock,Classic
log_len,2,3+,7,1,-0.27380207190317163,0.7842367312973146,0.7842367312973146,ns,seg_length,within_class_clock,Classic
log_len,1,2,65,1,0.2887655461772841,0.7727607995729082,0.7727607995729082,ns,seg_length,within_class_clock,HM
log_len,1,2,321,1,-1.1888049296187984,0.2345164377440548,0.2345164377440548,ns,seg_length,within_class_clock,WGD
log_snv,1,2,49,7,3.72334708838367,1.965989513981117e-4,5.897968541943351e-4,***,n_snvs,within_class_clock,Classic
log_snv,1,3+,49,1,1.4038849677512197,0.16035310666901426,0.24052966000352138,ns,n_snvs,within_class_clock,Classic
log_snv,2,3+,7,1,-0.08074631508721014,0.9356437029297671,0.9356437029297671,ns,n_snvs,within_class_clock,Classic
log_snv,1,2,65,1,0.7234318974654157,0.4694145802389427,0.4694145802389427,ns,n_snvs,within_class_clock,HM
log_snv,1,2,322,1,-0.2637590640002103,0.7919655800015275,0.7919655800015275,ns,n_snvs,within_class_clock,WGD
